topic,question,difficulty,company,category,expected_keywords
System Design,Design a real-time collaborative document editor like Google Docs.,Hard,Microsoft,System Design,"operational transformation,conflict resolution,WebSockets,CRDT"
System Design,How would you design Microsoft Teams' video calling infrastructure?,Hard,Microsoft,System Design,"WebRTC,TURN/STUN,signaling server,media server,SFU"
System Design,Design the Azure blob storage service.,Hard,Microsoft,System Design,"distributed storage,replication,consistency,chunking,metadata"
Algorithms,Serialize and deserialize a binary tree.,Medium,Microsoft,Trees,"BFS,DFS,preorder,queue"
Algorithms,Find all permutations of a string.,Medium,Microsoft,Recursion,"backtracking,recursion,time complexity"
Algorithms,"Given a 2D matrix, rotate it 90 degrees clockwise in-place.",Medium,Microsoft,Arrays,"transpose,reverse,O(n^2) space"
Algorithms,Implement a stack that supports push pop and min in O(1).,Medium,Microsoft,Design,"auxiliary stack,min tracking"
Behavioral,Tell me about a time you had to deliver a project with incomplete requirements.,Medium,Microsoft,Behavioral,"ambiguity,communication,stakeholders,STAR"
Behavioral,Describe a situation where you had to make a decision with limited data.,Medium,Microsoft,Behavioral,"data-driven,risk,outcome,assumptions"
Databases,What is a deadlock in SQL Server? How do you detect and prevent it?,Medium,Microsoft,Databases,"deadlock graph,retry logic,lock ordering,NOLOCK"
Databases,Explain the difference between clustered and non-clustered indexes.,Easy,Microsoft,Databases,"B-tree,primary key,covered index,seek vs scan"
Networking,Explain TLS handshake in detail.,Medium,Microsoft,Networking,"certificates,cipher suite,key exchange,asymmetric encryption"
Operating Systems,What is the difference between mutex and semaphore?,Easy,Microsoft,Concurrency,"binary vs counting,ownership,signaling"
Algorithms,Given an array of integers find two numbers that add up to a target.,Easy,Microsoft,Arrays,"hashmap,two pointers,O(n)"
System Design,Design a search autocomplete system.,Hard,Microsoft,System Design,"trie,cache,ranking,typeahead"
Behavioral,Tell me about your greatest technical challenge and how you solved it.,Medium,Microsoft,Behavioral,"ownership,impact,technical depth"
Algorithms,Implement binary search on a rotated sorted array.,Medium,Microsoft,Arrays,"pivot,mid calculation,edge cases"
Algorithms,Find the longest common subsequence of two strings.,Medium,Microsoft,Dynamic Programming,"DP table,memoization,O(nm)"
System Design,How would you design a distributed task scheduler?,Hard,Microsoft,System Design,"queues,workers,at-least-once delivery,idempotency"
Algorithms,Check if a linked list has a cycle.,Easy,Microsoft,Linked Lists,"Floyd's algorithm,fast slow pointer"
